Xp,Yp,Zp
250617093.276109730000000000,250617093.276109700000000000,37247220.101270787000000000
285778752.088779930000000000,285778752.088779870000000000,42473643.264653459000000000
356102069.714120330000000000,356102069.714120270000000000,52926489.591418810000000000
531910363.777471360000000000,531910363.777471300000000000,79058605.408332169000000000
707718657.840822460000000000,707718657.840822340000000000,105190721.225245540000000000
4476699.625095276200000000,4476699.625095275200000000,772146.403938407780000000
4476980.359541062300000000,4476980.359541061300000000,772195.151675769830000000
4477331.277598295400000000,4477331.277598294400000000,772256.086347472500000000
4483647.802628491100000000,4483647.802628490100000000,773352.910438118740000000
4511721.247207138700000000,4511721.247207137800000000,778227.684174324620000000
4546813.052930448200000000,4546813.052930447300000000,784321.151344582090000000
4616996.664377067200000000,4616996.664377066300000000,796508.085685096800000000
4687180.275823686300000000,4687180.275823685300000000,808695.020025611510000000
4757363.887270304400000000,4757363.887270304400000000,820881.954366126330000000
4827547.498716924300000000,4827547.498716923400000000,833068.888706641040000000
5003006.527333471900000000,5003006.527333471000000000,863536.224557927930000000
5178465.555950019500000000,5178465.555950018600000000,894003.560409214810000000
6231219.727649304100000000,6231219.727649303200000000,1076807.575516935900000000
7985810.013814779900000000,7985810.013814778100000000,1381480.934029804800000000
8687646.128280969300000000,8687646.128280969300000000,1503350.277434952100000000
9389482.242747159700000000,9389482.242747157800000000,1625219.620840099600000000
10091318.357213350000000000,10091318.357213348000000000,1747088.964245247200000000
10793154.471679540000000000,10793154.471679538000000000,1868958.307650394500000000
