ID ,fi_org,h_org,fi_Tri,h_Tri,fi_Halley, h_Halley
629,17,750000000,-2.55795E-05,238.4185791,-0.021550761,0
630,17,1000000000,-2.55795E-05,119.2092896,-0.016294166,119.2092896
631,18,100,-0.192639504,-1.360135116,0,-1.560593432
632,18,500,-0.041259796,-0.910745257,0,-0.904435637
633,18,1000,0.016869706,-0.791715138,-2.55795E-05,0.156205715
634,18,10000,-0.002711431,-2.459273674,2.55795E-05,-1.571606845
635,18,50000,-2.55795E-05,-2.211891115,0,-0.196450856
636,18,100000,-0.000115108,-1.353328116,-2.55795E-05,-0.902218744
637,18,200000,-0.000153477,-1.775333658,-8.95284E-05,-0.873114914
638,18,300000,-6.39488E-05,-0.232830644,-0.000243006,-0.698491931
639,18,400000,2.55795E-05,-1.455191523,-0.000511591,-0.582076609
640,18,500000,-3.83693E-05,-0.174622983,-0.000997602,0
641,18,750000,-6.39488E-05,-1.164153218,-0.002903278,-0.814907253
642,18,1000000,-0.000204636,-1.396983862,-0.006036771,-1.047737896
643,18,2500000,-0.002404477,-1.862645149,-0.044840931,-0.931322575
644,18,5000000,-0.008607515,-1.862645149,-0.132770595,-1.862645149
645,18,6000000,-0.010781775,-1.862645149,-0.163721836,-0.931322575
646,18,7000000,-0.012495605,-1.862645149,-0.190452454,-0.931322575
647,18,8000000,-0.013825741,0,-0.213000817,-0.931322575
648,18,9000000,-0.014784973,-3.725290298,-0.23167388,-1.862645149
649,18,10000000,-0.015450041,-1.862645149,-0.246957654,-1.862645149
650,18,15000000,-0.015769785,1.862645149,-0.286836155,-1.862645149
651,18,20000000,-0.014119905,-7.450580597,-0.293167091,3.725290298
652,18,25000000,-0.012163071,3.725290298,-0.285851343,3.725290298
653,18,30000000,-0.010359713,-7.450580597,-0.273304579,-11.1758709
654,18,35000000,-0.0088761,0,-0.259248623,0
655,18,40000000,-0.007597123,0,-0.245154297,0
656,18,50000000,-0.005742606,-7.450580597,-0.219216645,-14.90116119
657,18,75000000,-0.003235812,0,-0.170372516,-14.90116119
658,18,100000000,-0.002033573,-14.90116119,-0.138282985,-14.90116119
659,18,200000000,-0.000601119,-29.80232239,-0.078081541,-29.80232239
660,18,300000000,-0.000268585,-119.2092896,-0.054228622,-59.60464478
661,18,350000000,-0.000217426,0,-0.047040771,0
662,18,400000000,-0.000166267,-119.2092896,-0.041541171,-59.60464478
663,18,500000000,-0.000102318,-59.60464478,-0.033624303,-119.2092896
664,18,750000000,-7.67386E-05,119.2092896,-0.022816948,119.2092896
665,18,1000000000,-2.55795E-05,0,-0.017253399,0
666,19,100,-0.220649099,-0.966338121,-2.55795E-05,0.463685979
667,19,500,-0.03382894,1.058197086,0,1.486512247
668,19,1000,-0.006778578,2.116394171,0,0.178943083
669,19,10000,-0.001739409,-1.971784513,0,0.218278728
670,19,50000,-0.000524381,2.313754521,2.55795E-05,0.33469405
671,19,100000,0.000396483,-1.193257049,0,1.935404725
672,19,200000,0,-0.465661287,-6.39488E-05,0.407453626
673,19,300000,-5.11591E-05,1.338776201,-0.000255795,0.582076609
674,19,400000,-1.27898E-05,0.931322575,-0.00056275,-0.058207661
675,19,500000,-2.55795E-05,1.746229827,-0.001035971,1.979060471
676,19,750000,-8.95284E-05,-0.465661287,-0.003018386,0.349245965
677,19,1000000,-0.000191847,0.116415322,-0.006228618,1.513399184
678,19,2500000,-0.003018386,-2.328306437,-0.046337334,0.465661287
